Genome ID,Species,pathovar,Number of IMEs,Number of ICEs,Number of conjugative plasmids,Number of mobilizable plasmids,Number of plasmids
GCA_045711285.1,Xanthomonas campestris,pv. campestris,0,0,1,0,1
GCA_045711305.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_045711325.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_045711565.1,Xanthomonas campestris,pv. campestris,5,1,0,0,0
GCA_045711605.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_045711635.1,Xanthomonas campestris,pv. campestris,2,1,0,0,0
GCA_045712945.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045712955.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_045712965.1,Xanthomonas campestris,pv. campestris,1,1,0,0,0
GCA_045713235.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045713245.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045713335.1,Xanthomonas campestris,pv. campestris,5,1,0,0,0
GCA_045714245.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045714255.1,Xanthomonas campestris,pv. campestris,5,1,0,0,0
GCA_045714365.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045714975.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045714985.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045714995.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045715765.1,Xanthomonas campestris,pv. raphani,2,0,0,0,0
GCA_045715775.1,Xanthomonas campestris,pv. raphani,2,0,0,0,0
GCA_045715785.1,Xanthomonas campestris,pv. raphani,1,1,0,0,0
GCA_045716495.1,Xanthomonas campestris,pv. raphani,2,0,0,0,0
GCA_045716505.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045716515.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045717245.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045717255.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045717265.1,Xanthomonas campestris,pv. raphani,2,0,0,0,0
GCA_045717875.1,Xanthomonas campestris,pv. raphani,2,0,0,0,0
GCA_045717885.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045717895.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045718505.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045718515.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045718525.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045719095.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045719105.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045719115.1,Xanthomonas campestris,pv. raphani,0,1,0,0,0
GCA_045719825.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045719835.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_045719845.1,Xanthomonas campestris,pv. campestris,5,1,0,0,0
GCA_045720275.1,Xanthomonas campestris,pv. raphani,2,0,0,0,0
GCA_045720285.1,Xanthomonas campestris,pv. raphani,0,0,0,0,0
GCA_045720295.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045720785.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_045720795.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045720805.1,Xanthomonas campestris,pv. raphani,2,0,0,0,0
GCA_045721555.1,Xanthomonas campestris,pv. campestris,1,1,0,0,0
GCA_045721565.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_045721575.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_045721965.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_045721975.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045721985.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_045722715.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045722725.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_045722735.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_045723185.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045723195.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045723205.1,Xanthomonas campestris,pv. campestris,6,1,0,0,0
GCA_045723815.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_045723825.1,Xanthomonas campestris,pv. campestris,1,1,0,0,0
GCA_045723835.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_045724465.1,Xanthomonas campestris,pv. raphani,2,0,0,0,0
GCA_045724475.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045724485.1,Xanthomonas campestris,pv. campestris,5,1,0,0,0
GCA_045725015.1,Xanthomonas campestris,pv. campestris,0,0,0,0,0
GCA_045725025.1,Xanthomonas campestris,pv. campestris,1,1,0,0,0
GCA_045725035.1,Xanthomonas campestris,pv. campestris,3,0,0,0,0
GCA_045725265.1,Xanthomonas campestris,pv. campestris,2,0,0,0,0
GCA_045725275.1,Xanthomonas campestris,pv. campestris,1,0,0,0,0
GCA_045725285.1,Xanthomonas campestris,pv. campestris,4,1,0,0,0
GCA_045726115.1,Xanthomonas campestris,pv. campestris,2,0,1,0,1
GCA_045726125.1,Xanthomonas campestris,pv. raphani,0,1,0,0,0
GCA_045726135.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045726785.1,Xanthomonas campestris,pv. raphani,1,0,0,0,0
GCA_045726795.1,Xanthomonas campestris,,1,0,0,0,0
GCA_000007165.1_ASM716v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000348585.1_ASM34858v1,Xanthomonas cissicola,citri A,3,1,2,0,2
GCA_000349225.1_ASM34922v1,Xanthomonas cissicola,citri AwA,3,2,0,2,2
GCA_000723725.2_ASM72372v2,Xanthomonas cissicola,,4,0,0,1,1
GCA_000816885.1_ASM81688v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961155.1_ASM96115v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961175.1_ASM96117v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961195.1_ASM96119v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961215.1_ASM96121v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961235.1_ASM96123v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961255.1_ASM96125v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961275.1_ASM96127v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961295.1_ASM96129v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961315.1_ASM96131v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961335.1_ASM96133v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961355.1_ASM96135v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961375.1_ASM96137v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961395.1_ASM96139v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961415.1_ASM96141v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_000961435.1_ASM96143v1,Xanthomonas cissicola,citri AwA,3,2,0,2,2
GCA_000961455.1_ASM96145v1,Xanthomonas cissicola,citri AwA,2,1,0,2,2
GCA_000961475.1_ASM96147v1,Xanthomonas cissicola,citri AwA,3,2,0,2,2
GCA_000961495.1_ASM96149v1,Xanthomonas cissicola,citri AwA,3,2,0,2,2
GCA_000969685.1_ASM96968v1,Xanthomonas cissicola,"fuscans, lineage fuscans",2,0,0,3,3
GCA_001028285.3_ASM102828v3,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_001610795.1_ASM161079v1,Xanthomonas cissicola,aurantifolii XauA,1,0,1,1,2
GCA_001610815.1_ASM161081v1,Xanthomonas cissicola,aurantifolii XauA,0,0,3,0,3
GCA_001610915.1_ASM161091v1,Xanthomonas cissicola,aurantifolii XauB,2,1,0,0,0
GCA_001719145.1_ASM171914v1,Xanthomonas cissicola,malvacearum,2,0,0,2,2
GCA_001854145.2_ASM185414v2,Xanthomonas cissicola,glycines,2,1,0,1,1
GCA_001922045.1_ASM192204v1,Xanthomonas cissicola,citri A,3,1,2,0,2
GCA_001922065.1_ASM192206v1,Xanthomonas cissicola,citri A,3,1,3,0,3
GCA_001922085.1_ASM192208v1,Xanthomonas cissicola,citri A,3,1,3,0,3
GCA_001922105.1_ASM192210v1,Xanthomonas cissicola,citri A,3,1,2,0,2
GCA_002019265.2_ASM201926v2,Xanthomonas cissicola,citri,2,1,3,0,3
GCA_002019395.2_ASM201939v2,Xanthomonas cissicola,mangiferaeindicae,1,1,2,0,2
GCA_002079965.1_ASM207996v1,Xanthomonas cissicola,aurantifolii XauB,2,1,0,0,0
GCA_002139955.1_ASM213995v1,Xanthomonas cissicola,citri AwA,1,2,1,1,2
GCA_002139975.1_ASM213997v1,Xanthomonas cissicola,citri AwA,3,1,1,0,1
GCA_002139995.1_ASM213999v1,Xanthomonas cissicola,citri AwA,3,1,1,0,1
GCA_002163775.1_ASM216377v1,Xanthomonas cissicola,glycines,3,1,1,0,1
GCA_002218245.1_ASM221824v1,Xanthomonas cissicola,,3,1,2,0,2
GCA_002218265.1_ASM221826v1,Xanthomonas cissicola,,1,0,0,2,2
GCA_002218285.1_ASM221828v1,Xanthomonas cissicola,,0,0,0,0,0
GCA_002224525.1_ASM222452v1,Xanthomonas cissicola,malvacearum,1,1,0,1,1
GCA_002224545.1_ASM222454v1,Xanthomonas cissicola,malvacearum,2,1,0,0,0
GCA_002288565.1_ASM228856v1,Xanthomonas cissicola,malvacearum,2,1,0,1,1
GCA_002288585.1_ASM228858v1,Xanthomonas cissicola,malvacearum,2,0,0,2,2
GCA_002759175.2_ASM275917v2,Xanthomonas cissicola,"fuscans, lineage GL3",1,0,1,0,1
GCA_002759195.2_ASM275919v2,Xanthomonas cissicola,"fuscans, lineage GL3",1,0,1,0,1
GCA_002759215.3_ASM275921v3,Xanthomonas cissicola,"fuscans, lineage fuscans",0,0,1,0,1
GCA_002759235.2_ASM275923v2,Xanthomonas cissicola,"fuscans, lineage fuscans",1,0,0,3,3
GCA_002759255.3_ASM275925v3,Xanthomonas cissicola,"fuscans, lineage fuscans",1,0,1,2,3
GCA_002759275.2_ASM275927v2,Xanthomonas cissicola,"fuscans, lineage GL2",1,0,1,0,1
GCA_002759295.2_ASM275929v2,Xanthomonas cissicola,"fuscans, lineage GL2",1,0,1,0,1
GCA_002759315.2_ASM275931v2,Xanthomonas cissicola,"fuscans, lineage GL2",1,0,1,0,1
GCA_002759335.2_ASM275933v2,Xanthomonas cissicola,"fuscans, lineage GL3",2,1,1,0,1
GCA_002759355.2_ASM275935v2,Xanthomonas cissicola,"fuscans, lineage fuscans",2,0,1,2,3
GCA_002759375.2_ASM275937v2,Xanthomonas cissicola,"fuscans, lineage fuscans",2,1,1,1,2
GCA_002759395.2_ASM275939v2,Xanthomonas cissicola,"fuscans, lineage GL2",1,0,1,0,1
GCA_002759415.2_ASM275941v2,Xanthomonas cissicola,"fuscans, lineage fuscans",0,0,2,1,3
GCA_002952295.1_ASM295229v1,Xanthomonas cissicola,citri A,3,1,2,0,2
GCA_003665455.1_ASM366545v1,Xanthomonas cissicola,citri A,3,1,0,0,0
GCA_003665475.1_ASM366547v1,Xanthomonas cissicola,citri A,3,1,2,0,2
GCA_003999485.1_ASM399948v1,Xanthomonas cissicola,"fuscans, lineage fuscans",0,1,0,1,1
GCA_003999505.1_ASM399950v1,Xanthomonas cissicola,"fuscans, lineage fuscans",0,1,0,1,1
GCA_004000475.1_ASM400047v1,Xanthomonas cissicola,"fuscans, lineage fuscans",0,1,0,1,1
GCA_006228425.1_ASM622842v1,Xanthomonas cissicola,punicae,0,0,1,0,1
GCA_006228445.1_ASM622844v1,Xanthomonas cissicola,punicae,1,0,0,0,0
GCA_006228465.1_ASM622846v1,Xanthomonas cissicola,punicae,0,0,1,0,1
GCA_006228485.1_ASM622848v1,Xanthomonas cissicola,punicae,0,0,2,0,2
GCA_006228505.1_ASM622850v1,Xanthomonas cissicola,punicae,0,0,0,0,0
GCA_006228525.1_ASM622852v1,Xanthomonas cissicola,punicae,0,0,1,0,1
GCA_006228545.1_ASM622854v1,Xanthomonas cissicola,punicae,0,0,1,0,1
GCA_007567665.1_ASM756766v1,Xanthomonas cissicola,glycines,2,1,0,1,1
GCA_007723825.1_ASM772382v1,Xanthomonas cissicola,glycines,2,0,1,0,1
GCA_007724025.1_ASM772402v1,Xanthomonas cissicola,glycines,2,0,0,1,1
GCA_007724385.1_ASM772438v1,Xanthomonas cissicola,glycines,2,0,0,1,1
GCA_008593565.1_ASM859356v1,Xanthomonas cissicola,glycines,2,1,0,1,1
GCA_009671025.1_ASM967102v1,Xanthomonas cissicola,malvacearum,3,1,0,1,1
GCA_015224665.2_ASM1522466v2,Xanthomonas cissicola,citri A,3,1,3,0,3
GCA_015243835.1_ASM1524383v1,Xanthomonas cissicola,,2,1,0,0,0
GCA_016495605.1_ASM1649560v1,Xanthomonas cissicola,,2,1,0,0,0
GCA_016801615.1_ASM1680161v1,Xanthomonas cissicola,citri,2,1,3,1,4
GCA_016801635.1_ASM1680163v1,Xanthomonas cissicola,citri,2,1,3,1,4
GCA_016801655.1_ASM1680165v1,Xanthomonas cissicola,citri,2,2,1,3,4
GCA_016801675.1_ASM1680167v1,Xanthomonas cissicola,citri,2,2,1,3,4
GCA_016801695.1_ASM1680169v1,Xanthomonas cissicola,citri,2,2,2,3,5
GCA_016801715.1_ASM1680171v1,Xanthomonas cissicola,citri,2,2,0,1,1
GCA_017723855.1_ASM1772385v1,Xanthomonas cissicola,glycines,2,0,0,1,1
GCA_017723895.1_ASM1772389v1,Xanthomonas cissicola,glycines,3,1,1,1,2
GCA_017742815.1_ASM1774281v1,Xanthomonas cissicola,"fuscans, lineage fuscans",0,0,1,0,1
GCA_018831285.1_ASM1883128v1,Xanthomonas cissicola,"fuscans, lineage fuscans",1,0,0,1,1
GCA_018831325.1_ASM1883132v1,Xanthomonas cissicola,"fuscans, lineage fuscans",3,0,0,2,2
GCA_018831345.1_ASM1883134v1,Xanthomonas cissicola,"fuscans, lineage GL3",2,1,1,0,1
GCA_018831365.1_ASM1883136v1,Xanthomonas cissicola,"fuscans, lineage GL2",1,0,1,0,1
GCA_018831385.1_ASM1883138v1,Xanthomonas cissicola,"fuscans, lineage fuscans",2,0,0,1,1
GCA_019076985.1_ASM1907698v1,Xanthomonas cissicola,citri A,3,1,3,0,3
GCA_019434315.1_ASM1943431v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_019434335.1_ASM1943433v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_019434355.1_ASM1943435v1,Xanthomonas cissicola,citri A,3,1,2,0,2
GCA_020525465.1_ASM2052546v1,Xanthomonas cissicola,mangiferaeindicae,1,0,0,0,0
GCA_020544545.1_ASM2054454v1,Xanthomonas cissicola,mangiferaeindicae,1,0,2,0,2
GCA_021474205.1_ASM2147420v1,Xanthomonas cissicola,glycines,2,0,0,1,1
GCA_023205075.1_ASM2320507v1,Xanthomonas cissicola,citri A,3,1,1,0,1
GCA_025987645.1_ASM2598764v1,Xanthomonas cissicola,"fuscans, lineage GL2",1,0,0,1,1
GCA_025987665.1_ASM2598766v1,Xanthomonas cissicola,"fuscans, lineage GL2",1,0,2,0,2
GCA_025987705.1_ASM2598770v1,Xanthomonas cissicola,"fuscans, lineage GL2",1,0,1,0,1
GCA_027186285.1_ASM2718628v1,Xanthomonas cissicola,malvacearum,3,1,0,2,2
GCA_027186305.1_ASM2718630v1,Xanthomonas cissicola,malvacearum,4,0,0,1,1
GCA_027186325.1_ASM2718632v1,Xanthomonas cissicola,malvacearum,2,1,1,1,2
GCA_030582195.1_ASM3058219v1,Xanthomonas cissicola,glycines,2,1,0,1,1
GCA_030582375.1_ASM3058237v1,Xanthomonas cissicola,glycines,3,0,0,1,1
GCA_040142795.1_CCRMTAQ13.2.0,Xanthomonas cissicola,,0,0,0,0,0
GCA_040202415.2_ASM4020241v2,Xanthomonas cissicola,"fuscans, lineage fuscans",2,0,0,1,1
GCA_040202935.2_ASM4020293v2,Xanthomonas cissicola,malvacearum,3,1,1,1,2
GCA_040202945.2_ASM4020294v2,Xanthomonas cissicola,,1,0,0,2,2
GCA_040202995.2_NCPPB381v2_ONT,Xanthomonas cissicola,"fuscans, lineage fuscans",0,0,1,0,1
GCA_040284385.1_ASM4028438v1,Xanthomonas cissicola,malvacearum,2,0,0,2,2
GCA_040285035.1_Xcm_TX4-attenuated_assembly,Xanthomonas cissicola,malvacearum,2,0,0,2,2
GCA_040285045.1_ASM4028504v1,Xanthomonas cissicola,malvacearum,1,0,0,2,2
GCA_040285055.1_ASM4028505v1,Xanthomonas cissicola,malvacearum,2,0,0,2,2
GCA_041475625.1_NCPPB3086v1_ONT,Xanthomonas cissicola,malvacearum,1,0,1,1,2
GCA_041475655.1_NCPPB2063v1_ONT,Xanthomonas cissicola,,1,1,0,2,2
GCA_000007385.1_ASM738v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_000010025.1_ASM1002v1,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_000019585.2_ASM1958v2,Xanthomonas oryzae,oryzae - Asian-like strains,0,0,0,0,0
GCA_000168315.3_ASM16831v3,Xanthomonas oryzae,oryzicola,0,0,0,0,0
GCA_000212755.3_ASM21275v3,Xanthomonas oryzae,,1,0,0,0,0
