genome,crisprcas_spacer_number
GCA_004355365.1_ASM435536v1,0
GCA_004355405.1_ASM435540v1,0
GCA_004355425.1_ASM435542v1,0
GCA_004355445.1_ASM435544v1,1
GCA_004355465.1_ASM435546v1,1
GCA_004355505.1_ASM435550v1,1
GCA_004355525.1_ASM435552v1,0
GCA_004355585.1_ASM435558v1,1
GCA_004355705.1_ASM435570v1,84
GCA_004355765.2_ASM435576v2,75
GCA_004355785.1_ASM435578v1,48
GCA_004355825.1_ASM435582v1,32
GCA_004355845.1_ASM435584v1,59
GCA_004355865.1_ASM435586v1,32
GCA_004355885.3_ASM435588v3,61
GCA_008370835.2_ASM837083v2,4
GCA_009660205.1_ASM966020v1,4
GCA_009664105.1_ASM966410v1,75
GCA_009707765.1_ASM970776v1,65
GCA_011045315.1_ASM1104531v1,73
GCA_011604745.1_ASM1160474v1,57
GCA_011604765.1_ASM1160476v1,45
GCA_011604785.1_ASM1160478v1,93
GCA_016864875.1_ASM1686487v1,76
GCA_017577225.1_ASM1757722v1,67
GCA_018288775.1_ASM1828877v1,72
GCA_018310515.1_ASM1831051v1,95
GCA_019915985.1_ASM1991598v1,57
GCA_020084945.1_ASM2008494v1,4
GCA_020790135.1_ASM2079013v1,78
GCA_020866785.1_ASM2086678v1,79
GCA_020866865.1_ASM2086686v1,75
GCA_022406815.1_ASM2240681v1,4
GCA_022409615.1_ASM2240961v1,79
GCA_022559705.1_ASM2255970v1,1
GCA_022751255.1_ASM2275125v1,4
GCA_023586865.1_ASM2358686v1,57
GCA_023650685.1_ASM2365068v1,65
GCA_024499285.1_ASM2449928v1,107
GCA_025264145.1_ASM2526414v1,22
GCA_027257035.1_ASM2725703v1,88
GCA_028752255.1_ASM2875225v1,79
GCA_028752275.1_ASM2875227v1,79
GCA_028752315.1_ASM2875231v1,84
GCA_028752335.1_ASM2875233v1,90
GCA_028752355.1_ASM2875235v1,88
GCA_028752375.1_ASM2875237v1,79
GCA_028752395.1_ASM2875239v1,32
GCA_028752435.1_ASM2875243v1,83
GCA_028752455.1_ASM2875245v1,83
GCA_028752475.1_ASM2875247v1,94
GCA_028752495.1_ASM2875249v1,94
GCA_028752515.1_ASM2875251v1,46
GCA_028752535.1_ASM2875253v1,97
GCA_029026945.1_ASM2902694v1,53
GCA_029026965.1_ASM2902696v1,83
GCA_029026985.1_ASM2902698v1,57
GCA_029204245.1_ASM2920424v1,67
GCA_029204265.1_ASM2920426v1,67
GCA_029204285.1_ASM2920428v1,67
GCA_029542325.1_ASM2954232v1,46
GCA_030177815.1_ASM3017781v1,4
GCA_030284465.1_ASM3028446v1,1
GCA_036352055.1_ASM3635205v1,1
GCA_038380135.1_ASM3838013v1,4
GCA_039555255.1_PkXoo2_homopolish,52
GCA_040202085.2_NCPPB5234_v2_ONT,1
GCA_040202795.2_ASM4020279v2,68
GCA_040500315.1_ASM4050031v1,1
GCA_040804865.1_ASM4080486v1,4
GCA_040834055.1_ASM4083405v1,4
GCA_000007165.1_ASM716v1,18
GCA_000348585.1_ASM34858v1,11
GCA_000349225.1_ASM34922v1,18
GCA_000723725.2_ASM72372v2,5
GCA_000816885.1_ASM81688v1,18
GCA_000961155.1_ASM96115v1,16
GCA_000961175.1_ASM96117v1,18
GCA_000961195.1_ASM96119v1,18
GCA_000961215.1_ASM96121v1,18
GCA_000961235.1_ASM96123v1,18
GCA_000961255.1_ASM96125v1,18
GCA_000961275.1_ASM96127v1,18
GCA_000961295.1_ASM96129v1,18
GCA_000961315.1_ASM96131v1,18
GCA_000961335.1_ASM96133v1,16
GCA_000961355.1_ASM96135v1,16
GCA_000961375.1_ASM96137v1,17
GCA_000961395.1_ASM96139v1,18
GCA_000961415.1_ASM96141v1,18
GCA_000961435.1_ASM96143v1,18
GCA_000961455.1_ASM96145v1,18
GCA_000961475.1_ASM96147v1,18
GCA_000961495.1_ASM96149v1,18
GCA_000969685.1_ASM96968v1,4
GCA_001028285.3_ASM102828v3,17
GCA_001610795.1_ASM161079v1,5
GCA_001610815.1_ASM161081v1,5
GCA_001610915.1_ASM161091v1,4
GCA_001719145.1_ASM171914v1,5
GCA_001854145.2_ASM185414v2,5
GCA_001922045.1_ASM192204v1,19
GCA_001922065.1_ASM192206v1,19
GCA_001922085.1_ASM192208v1,19
GCA_001922105.1_ASM192210v1,19
GCA_002019265.2_ASM201926v2,18
GCA_002019395.2_ASM201939v2,5
GCA_002079965.1_ASM207996v1,4
GCA_002139955.1_ASM213995v1,21
GCA_002139975.1_ASM213997v1,19
GCA_002139995.1_ASM213999v1,19
GCA_002163775.1_ASM216377v1,5
GCA_002218245.1_ASM221824v1,5
GCA_002218265.1_ASM221826v1,6
GCA_002218285.1_ASM221828v1,4
GCA_002224525.1_ASM222452v1,5
GCA_002224545.1_ASM222454v1,5
GCA_002288565.1_ASM228856v1,5
GCA_002288585.1_ASM228858v1,5
GCA_002759175.2_ASM275917v2,4
GCA_002759195.2_ASM275919v2,4
GCA_002759215.3_ASM275921v3,4
GCA_002759235.2_ASM275923v2,4
GCA_002759255.3_ASM275925v3,4
GCA_002759275.2_ASM275927v2,6
GCA_002759295.2_ASM275929v2,6
GCA_002759315.2_ASM275931v2,6
GCA_002759335.2_ASM275933v2,4
GCA_002759355.2_ASM275935v2,4
GCA_002759375.2_ASM275937v2,4
GCA_002759395.2_ASM275939v2,6
GCA_002759415.2_ASM275941v2,4
GCA_002952295.1_ASM295229v1,18
GCA_003665455.1_ASM366545v1,18
GCA_003665475.1_ASM366547v1,11
GCA_003999485.1_ASM399948v1,4
GCA_003999505.1_ASM399950v1,4
GCA_004000475.1_ASM400047v1,4
GCA_006228425.1_ASM622842v1,12
GCA_006228445.1_ASM622844v1,6
GCA_006228465.1_ASM622846v1,12
GCA_006228485.1_ASM622848v1,13
GCA_006228505.1_ASM622850v1,12
GCA_006228525.1_ASM622852v1,12
GCA_006228545.1_ASM622854v1,12
GCA_007567665.1_ASM756766v1,5
GCA_007723825.1_ASM772382v1,5
GCA_007724025.1_ASM772402v1,5
GCA_007724385.1_ASM772438v1,5
GCA_008593565.1_ASM859356v1,5
GCA_009671025.1_ASM967102v1,6
GCA_015224665.2_ASM1522466v2,16
GCA_015243835.1_ASM1524383v1,2
GCA_016495605.1_ASM1649560v1,2
GCA_016801615.1_ASM1680161v1,15
GCA_016801635.1_ASM1680163v1,15
GCA_016801655.1_ASM1680165v1,16
GCA_016801675.1_ASM1680167v1,17
GCA_016801695.1_ASM1680169v1,17
GCA_016801715.1_ASM1680171v1,18
GCA_017723855.1_ASM1772385v1,5
GCA_017723895.1_ASM1772389v1,5
GCA_017742815.1_ASM1774281v1,4
GCA_018831285.1_ASM1883128v1,4
GCA_018831325.1_ASM1883132v1,4
GCA_018831345.1_ASM1883134v1,4
GCA_018831365.1_ASM1883136v1,6
GCA_018831385.1_ASM1883138v1,4
GCA_019076985.1_ASM1907698v1,17
GCA_019434315.1_ASM1943431v1,19
GCA_019434335.1_ASM1943433v1,17
GCA_019434355.1_ASM1943435v1,18
GCA_020525465.1_ASM2052546v1,5
GCA_020544545.1_ASM2054454v1,5
GCA_021474205.1_ASM2147420v1,5
GCA_023205075.1_ASM2320507v1,19
GCA_025987645.1_ASM2598764v1,6
GCA_025987665.1_ASM2598766v1,6
GCA_025987705.1_ASM2598770v1,6
GCA_027186285.1_ASM2718628v1,5
GCA_027186305.1_ASM2718630v1,5
GCA_027186325.1_ASM2718632v1,5
GCA_030582195.1_ASM3058219v1,5
GCA_030582375.1_ASM3058237v1,5
GCA_040142795.1_CCRMTAQ13.2.0,4
GCA_040202415.2_ASM4020241v2,4
GCA_040202935.2_ASM4020293v2,5
GCA_040202945.2_ASM4020294v2,6
GCA_040202995.2_NCPPB381v2_ONT,4
GCA_040284385.1_ASM4028438v1,5
GCA_040285035.1_Xcm_TX4-attenuated_assembly,5
GCA_040285045.1_ASM4028504v1,5
GCA_040285055.1_ASM4028505v1,5
GCA_041475625.1_NCPPB3086v1_ONT,5
GCA_041475655.1_NCPPB2063v1_ONT,10
GCA_000007145.1_ASM714v1,21
GCA_000012105.1_ASM1210v1,21
GCA_000070605.1_ASM7060v1,21
GCA_000221965.1_ASM22196v1,99
GCA_000401735.2_ASM40173v2,1
GCA_000403575.2_ASM40357v2,1
GCA_001186415.1_ASM118641v1,21
GCA_001186465.1_ASM118646v1,1
GCA_002776715.1_ASM277671v1,21
GCA_002776735.1_ASM277673v1,21
GCA_002776775.1_ASM277677v1,21
GCA_002776835.1_ASM277683v1,21
GCA_002879955.1_ASM287995v1,21
GCA_009177325.1_ASM917732v1,21
GCA_009177345.1_ASM917734v1,21
GCA_013388375.1_ASM1338837v1,101
GCA_014841015.1_ASM1484101v1,21
GCA_020008105.1_ASM2000810v1,1
GCA_020813315.3_ASM2081331v3,1
GCA_021459985.1_ASM2145998v1,21
GCA_021777195.1_ASM2177719v1,21
GCA_021777455.1_ASM2177745v1,21
GCA_023206795.1_ASM2320679v1,21
GCA_024298585.1_ASM2429858v1,21
GCA_024298605.1_ASM2429860v1,21
GCA_024298625.1_ASM2429862v1,21
GCA_024298645.1_ASM2429864v1,21
GCA_024298665.1_ASM2429866v1,21
GCA_024298685.1_ASM2429868v1,21
GCA_025853835.1_ASM2585383v1,21
GCA_028749545.1_ASM2874954v1,21
GCA_028749565.1_ASM2874956v1,93
GCA_028749585.1_ASM2874958v1,1
GCA_028749605.1_ASM2874960v1,0
GCA_028749625.1_ASM2874962v1,1
GCA_028749645.1_ASM2874964v1,1
GCA_028749665.1_ASM2874966v1,80
GCA_028749685.1_ASM2874968v1,101
GCA_028749705.1_ASM2874970v1,21
GCA_028749725.1_ASM2874972v1,21
GCA_028749745.1_ASM2874974v1,93
GCA_028749765.1_ASM2874976v1,21
GCA_028749785.1_ASM2874978v1,21
GCA_028749805.1_ASM2874980v1,6
GCA_028749825.1_ASM2874982v1,21
GCA_028749845.1_ASM2874984v1,21
GCA_028749865.1_ASM2874986v1,1
GCA_028749885.1_ASM2874988v1,21
GCA_028749905.1_ASM2874990v1,21
GCA_028749925.1_ASM2874992v1,1
GCA_028749945.1_ASM2874994v1,1
GCA_028750015.1_ASM2875001v1,21
GCA_028750035.1_ASM2875003v1,21
GCA_028750055.1_ASM2875005v1,1
GCA_028750075.1_ASM2875007v1,1
GCA_028750095.1_ASM2875009v1,3
GCA_028750115.1_ASM2875011v1,24
GCA_028750135.1_ASM2875013v1,1
GCA_028750155.1_ASM2875015v1,21
GCA_028750275.1_ASM2875027v1,4
GCA_028750335.1_ASM2875033v1,3
GCA_028750355.1_ASM2875035v1,1
GCA_028750375.1_ASM2875037v1,21
GCA_028750395.1_ASM2875039v1,1
GCA_028750415.1_ASM2875041v1,20
GCA_028750435.1_ASM2875043v1,21
GCA_028750455.1_ASM2875045v1,21
GCA_028750515.1_ASM2875051v1,21
GCA_028750535.1_ASM2875053v1,21
GCA_028750555.1_ASM2875055v1,21
GCA_028750575.1_ASM2875057v1,21
GCA_028750595.1_ASM2875059v1,20
GCA_028750615.1_ASM2875061v1,21
GCA_028750635.1_ASM2875063v1,21
GCA_028750655.1_ASM2875065v1,21
GCA_028751215.1_ASM2875121v1,21
GCA_028751235.1_ASM2875123v1,21
GCA_028751255.1_ASM2875125v1,21
GCA_028751275.1_ASM2875127v1,21
GCA_028751295.1_ASM2875129v1,21
GCA_028751315.1_ASM2875131v1,21
GCA_028751335.1_ASM2875133v1,20
GCA_028751355.1_ASM2875135v1,20
GCA_028751375.1_ASM2875137v1,21
GCA_028751395.1_ASM2875139v1,21
GCA_028751435.1_ASM2875143v1,21
GCA_028751465.1_ASM2875146v1,21
GCA_028751505.1_ASM2875150v1,21
GCA_030053615.1_ASM3005361v1,21
GCA_030053635.1_ASM3005363v1,1
GCA_030062415.1_ASM3006241v1,21
GCA_030062435.1_ASM3006243v1,21
GCA_030062465.1_ASM3006246v1,21
GCA_030062515.1_ASM3006251v1,21
GCA_030848325.1_ASM3084832v1,21
GCA_035025505.3_ASM3502550v3,21
GCA_035025885.2_ASM3502588v2,21
GCA_035027565.3_ASM3502756v3,21
GCA_035027605.3_ASM3502760v3,21
GCA_035059395.2_ASM3505939v2,21
GCA_035059585.2_WHRI8978v2_ONT,21
GCA_040193835.2_ASM4019383v2,146
GCA_040194035.2_ASM4019403v2,1
GCA_040194315.2_ASM4019431v2,21
GCA_040194335.2_ASM4019433v2,1
GCA_040194535.2_ASM4019453v2,78
GCA_040194615.2_ASM4019461v2,21
GCA_040194835.2_ASM4019483v2,0
GCA_041475695.1_NCPPB4037v1_ONT,0
GCA_041475775.1_NCPPB2586v1_ONT,1
GCA_041889105.1_ASM4188910v1,21
GCA_045688885.1_ASM4568888v1,43
GCA_045688895.1_ASM4568889v1,97
GCA_045688925.1_ASM4568892v1,21
GCA_045688945.1_ASM4568894v1,21
GCA_045688965.1_ASM4568896v1,21
GCA_045707235.1_ASM4570723v1,100
GCA_045707245.1_ASM4570724v1,93
GCA_045707255.1_ASM4570725v1,21
GCA_045708065.1_ASM4570806v1,93
GCA_045708075.1_ASM4570807v1,21
GCA_045708145.1_ASM4570814v1,1
GCA_045708995.1_ASM4570899v1,101
GCA_045709045.1_ASM4570904v1,21
GCA_045709075.1_ASM4570907v1,21
GCA_045709785.1_ASM4570978v1,21
GCA_045709795.1_ASM4570979v1,21
GCA_045709885.1_ASM4570988v1,21
GCA_045710605.1_ASM4571060v1,103
GCA_045710645.1_ASM4571064v1,21
GCA_045710655.1_ASM4571065v1,99
GCA_045711285.1_ASM4571128v1,21
GCA_045711305.1_ASM4571130v1,1
GCA_045711325.1_ASM4571132v1,21
GCA_045711565.1_ASM4571156v1,21
GCA_045711605.1_ASM4571160v1,21
GCA_045711635.1_ASM4571163v1,21
GCA_045712945.1_ASM4571294v1,21
GCA_045712955.1_ASM4571295v1,1
GCA_045712965.1_ASM4571296v1,21
GCA_045713235.1_ASM4571323v1,50
GCA_045713245.1_ASM4571324v1,93
GCA_045713335.1_ASM4571333v1,21
GCA_045714245.1_ASM4571424v1,1
GCA_045714255.1_ASM4571425v1,21
GCA_045714365.1_ASM4571436v1,101
GCA_045714975.1_ASM4571497v1,144
GCA_045714985.1_ASM4571498v1,96
GCA_045714995.1_ASM4571499v1,100
GCA_045715765.1_ASM4571576v1,78
GCA_045715775.1_ASM4571577v1,31
GCA_045715785.1_ASM4571578v1,31
GCA_045716495.1_ASM4571649v1,79
GCA_045716505.1_ASM4571650v1,100
GCA_045716515.1_ASM4571651v1,99
GCA_045717245.1_ASM4571724v1,50
GCA_045717255.1_ASM4571725v1,93
GCA_045717265.1_ASM4571726v1,146
GCA_045717875.1_ASM4571787v1,85
GCA_045717885.1_ASM4571788v1,21
GCA_045717895.1_ASM4571789v1,100
GCA_045718505.1_ASM4571850v1,77
GCA_045718515.1_ASM4571851v1,77
GCA_045718525.1_ASM4571852v1,101
GCA_045719095.1_ASM4571909v1,93
GCA_045719105.1_ASM4571910v1,100
GCA_045719115.1_ASM4571911v1,21
GCA_045719825.1_ASM4571982v1,35
GCA_045719835.1_ASM4571983v1,3
GCA_045719845.1_ASM4571984v1,21
GCA_045720275.1_ASM4572027v1,145
GCA_045720285.1_ASM4572028v1,89
GCA_045720295.1_ASM4572029v1,21
GCA_045720785.1_ASM4572078v1,21
GCA_045720795.1_ASM4572079v1,101
GCA_045720805.1_ASM4572080v1,146
GCA_045721555.1_ASM4572155v1,21
GCA_045721565.1_ASM4572156v1,21
GCA_045721575.1_ASM4572157v1,21
GCA_045721965.1_ASM4572196v1,21
GCA_045721975.1_ASM4572197v1,21
GCA_045721985.1_ASM4572198v1,21
GCA_045722715.1_ASM4572271v1,21
GCA_045722725.1_ASM4572272v1,21
GCA_045722735.1_ASM4572273v1,1
GCA_045723185.1_ASM4572318v1,21
GCA_045723195.1_ASM4572319v1,21
GCA_045723205.1_ASM4572320v1,21
GCA_045723815.1_ASM4572381v1,21
GCA_045723825.1_ASM4572382v1,21
GCA_045723835.1_ASM4572383v1,21
GCA_045724465.1_ASM4572446v1,23
GCA_045724475.1_ASM4572447v1,100
GCA_045724485.1_ASM4572448v1,21
GCA_045725015.1_ASM4572501v1,21
GCA_045725025.1_ASM4572502v1,21
GCA_045725035.1_ASM4572503v1,3
GCA_045725265.1_ASM4572526v1,1
GCA_045725275.1_ASM4572527v1,21
GCA_045725285.1_ASM4572528v1,21
GCA_045726115.1_ASM4572611v1,21
GCA_045726125.1_ASM4572612v1,21
GCA_045726135.1_ASM4572613v1,101
GCA_045726785.1_ASM4572678v1,93
GCA_045726795.1_ASM4572679v1,99
