replicon_clean,crispr-cas
GCA_045726785_1_ASM4572678v1,yes
GCA_045726795_1_ASM4572679v1,yes
GCA_000007165_1_ASM716v1,yes
GCA_000348585_1_ASM34858v1,yes
GCA_000349225_1_ASM34922v1,yes
GCA_000816885_1_ASM81688v1,yes
GCA_000961155_1_ASM96115v1,yes
GCA_000961175_1_ASM96117v1,yes
GCA_000961195_1_ASM96119v1,yes
GCA_000961215_1_ASM96121v1,yes
GCA_000961235_1_ASM96123v1,yes
GCA_000961255_1_ASM96125v1,yes
GCA_000961275_1_ASM96127v1,yes
GCA_000961295_1_ASM96129v1,yes
GCA_000961315_1_ASM96131v1,yes
GCA_000961335_1_ASM96133v1,yes
GCA_000961355_1_ASM96135v1,yes
GCA_000961375_1_ASM96137v1,yes
GCA_000961395_1_ASM96139v1,yes
GCA_000961415_1_ASM96141v1,yes
GCA_000961435_1_ASM96143v1,yes
GCA_000961455_1_ASM96145v1,yes
GCA_000961475_1_ASM96147v1,yes
GCA_000961495_1_ASM96149v1,yes
GCA_001028285_3_ASM102828v3,yes
GCA_001922045_1_ASM192204v1,yes
GCA_001922065_1_ASM192206v1,yes
GCA_001922085_1_ASM192208v1,yes
GCA_001922105_1_ASM192210v1,yes
GCA_002139955_1_ASM213995v1,yes
GCA_002139975_1_ASM213997v1,yes
GCA_002139995_1_ASM213999v1,yes
GCA_003665455_1_ASM366545v1,yes
GCA_003665475_1_ASM366547v1,yes
GCA_006228425_1_ASM622842v1,yes
GCA_006228445_1_ASM622844v1,yes
GCA_006228465_1_ASM622846v1,yes
GCA_006228485_1_ASM622848v1,yes
GCA_006228545_1_ASM622854v1,yes
GCA_015224665_2_ASM1522466v2,yes
GCA_016801615_1_ASM1680161v1,yes
GCA_016801635_1_ASM1680163v1,yes
GCA_016801655_1_ASM1680165v1,yes
GCA_016801675_1_ASM1680167v1,yes
GCA_016801695_1_ASM1680169v1,yes
GCA_019076985_1_ASM1907698v1,yes
GCA_019434335_1_ASM1943433v1,yes
GCA_019434355_1_ASM1943435v1,yes
GCA_023205075_1_ASM2320507v1,yes
GCA_041475655_1_NCPPB2063v1_ONT,yes
